"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"auglaize county","OH",50.5,55.3,43.6,5.5,"non-metro"
"huntingdon county","PA",95.48,48.1,49.9,7.6,"non-metro"
"union county","OR",55.14,68.7,101,10.9,"non-metro"
"ellis county","TX",296.38,197.8,67.3,16.6,"metro"
"otero county","NM",30.71,104,50.7,14,"non-metro"
"sevier county","TN",44.5,103.4,99.5,18.3,"non-metro"
"lawrence county","IN",18.56,98.5,113.6,12.1,"non-metro"
"morehouse parish","LA",160.2,304,111.9,15.9,"non-metro"
"washington county","TN",7,211.6,94.5,11.1,"metro"
"pitkin county","CO",88.5,156.3,22.2,13.7,"non-metro"
"christian county","KY",57.78,173,56.2,12,"metro"
"jasper county","MO",84.44,169.2,125.8,14.2,"metro"
"curry county","OR",43.17,69.4,133.8,10,"non-metro"
"hamblen county","TN",48.8,107.1,143.6,14.6,"metro"
"mcpherson county","KS",172.75,-1,75.9,6,"non-metro"
"jefferson davis parish","LA",95.57,238.5,88.4,11.9,"non-metro"
"oconto county","WI",35.18,24.9,29.6,5.9,"metro"
"presidio county","TX",170.67,86.9,3.3,35.9,"non-metro"
"camden county","MO",120.6,91.6,93,16.4,"non-metro"
"clermont county","OH",18.59,79.1,73,7.3,"metro"
"mille lacs county","MN",49.12,66.1,62.4,7.1,"metro"
"scott county","MN",23.62,87.2,33.3,5.1,"metro"
"fayette county","PA",23.23,27.1,107,7.6,"metro"
"poinsett county","AR",194.38,110.5,112.5,13.9,"metro"
"lake county","TN",150,341.8,58.1,13,"non-metro"
"windham county","VT",155.78,175.2,60.1,6.2,"non-metro"
"albemarle county","VA",100.46,156,49.1,8,"metro"
"poquoson city","VA",114,58.6,66,3.9,"metro"
"edgar county","IL",37.75,60.2,76.4,7.4,"non-metro"
"decatur county","TN",85.25,100.6,136.5,11.2,"non-metro"
"tuolumne county","CA",50.93,92.8,101.6,8.7,"non-metro"
"gwinnett county","GA",23.94,351.5,43.5,18.3,"metro"
"wyandotte county","KS",7.25,292.3,60.9,21,"metro"
