"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"burt county","NE",196.8,-1,20,8.8,"non-metro"
"hale county","TX",83.17,76.8,58.7,20.3,"non-metro"
"allen county","KS",90.5,-1,96.8,10.3,"non-metro"
"russell county","KS",224.43,-1,2.5,8.8,"non-metro"
"chippewa county","MN",102.4,80.3,62.8,8.1,"non-metro"
"bosque county","TX",339,104.7,36.2,20.7,"non-metro"
"brantley county","GA",226.25,157.2,49.3,24.4,"metro"
"sheridan county","NE",188.14,-1,17.2,14.9,"non-metro"
"westchester county","NY",14.96,441.3,30.9,8.9,"metro"
"wilcox county","GA",131.4,679.5,2.8,14.9,"non-metro"
"columbus county","NC",55.79,-1,139.8,15.8,"non-metro"
"douglas county","GA",20.75,341.9,84.7,15.6,"metro"
"woodson county","KS",99.75,-1,0.8,15.3,"non-metro"
"nolan county","TX",180.4,157,83.4,17.8,"non-metro"
"mills county","IA",148.25,103.6,49.2,5.7,"metro"
"union county","PA",99.23,145.6,52.8,11.2,"non-metro"
"west baton rouge parish","LA",10,507.2,87.7,10.6,"metro"
"henderson county","KY",77,-1,127,8.2,"metro"
"montgomery county","OH",14.61,303.6,77.3,9.1,"metro"
"campbell county","WY",237.33,56.9,66.5,11,"non-metro"
"madison county","OH",21.29,210.8,63.2,8.4,"metro"
"lancaster county","NE",162.19,-1,56.3,9.3,"metro"
"sanilac county","MI",54.25,56.9,39.8,11.8,"non-metro"
"brown county","IN",12.5,91.4,32.9,11.7,"metro"
"jewell county","KS",197.57,-1,0.4,7.8,"non-metro"
"perry county","MS",111.33,188.7,65.4,18.1,"metro"
"lauderdale county","TN",159.5,265.3,91.5,13.5,"non-metro"
"blaine county","ID",216.43,43.9,44.4,16.5,"non-metro"
"morton county","KS",147,-1,115.6,10.9,"non-metro"
"falls county","TX",343,266.4,58.1,18.9,"metro"
"russell county","VA",43.17,46.4,105.7,12.8,"non-metro"
"patrick county","VA",39.14,64.1,58.5,14.5,"non-metro"
"st. louis county","MN",39.84,75.4,54.4,5.4,"metro"
"madison county","IN",24.71,157.5,98.9,11.7,"metro"
"gratiot county","MI",47.77,96.7,70.2,8.2,"non-metro"
"brooks county","GA",204.25,408.8,84.4,19.2,"metro"
"duval county","TX",460.6,236.6,9.5,27.7,"non-metro"
"caledonia county","VT",224.29,84.4,54.9,5.3,"non-metro"
"gallatin county","MT",158.44,54.3,38.5,10.2,"non-metro"
"northumberland county","PA",88.67,44,82.4,8.4,"non-metro"
"alameda county","CA",3.94,408,26.4,8.4,"metro"
"livingston county","MO",73,70.1,93.9,13.6,"non-metro"
"hamilton county","TX",313.5,100.1,44.6,17.4,"non-metro"
"lincoln county","KS",190,-1,0.5,11.5,"non-metro"
"chisago county","MN",31,34.9,30.9,5.6,"metro"
